,beat,count,years
802,533,14,2013
803,2221,13,2016
804,932,31,2008
805,1713,14,2011
806,1611,9,2011
807,932,5,2020
808,232,14,2014
809,632,17,2019
810,911,8,2015
811,1132,48,2009
812,623,27,2014
813,924,11,2014
814,313,12,2015
815,2213,4,2007
816,1832,33,2012
817,1123,10,2012
818,232,25,2005
819,2524,7,2014
820,1133,29,2008
821,1123,51,2005
822,214,7,2008
823,2033,9,2006
824,1531,44,2004
825,215,17,2016
826,1511,2,2020
827,1934,2,2020
828,2522,3,2019
829,1631,2,2008
830,2524,13,2011
831,1115,34,2007
832,813,28,2013
833,531,76,2010
834,624,36,2006
835,1034,9,2015
836,1632,7,2005
837,1213,2,2016
838,2024,1,2020
839,1023,8,2014
840,112,3,2009
841,1214,6,2013
842,2211,10,2008
843,1824,48,2013
844,1212,2,2018
845,1023,24,2009
846,1211,7,2018
847,2514,5,2006
848,533,26,2011
849,523,38,2009
850,231,6,2005
851,1934,10,2013
852,1021,33,2007
853,2233,6,2020
854,1812,1,2015
855,1724,5,2015
856,2023,4,2019
857,1612,6,2010
858,1111,5,2020
859,735,34,2016
860,1434,1,2018
861,432,7,2007
862,811,8,2010
863,1811,5,2009
864,1135,35,2016
865,2534,19,2004
866,1834,17,2009
867,922,18,2016
868,1932,7,2008
869,113,16,2014
870,1733,11,2005
871,622,11,2014
872,421,55,2012
873,3100,72,2017
874,1621,3,2012
875,734,27,2012
876,213,12,2004
877,1022,26,2008
878,1012,15,2012
879,111,14,2012
880,522,39,2014
881,133,2,2006
882,2024,14,2011
883,413,28,2012
884,1931,4,2015
885,213,1,2020
886,822,17,2012
887,1913,7,2019
888,1423,16,2014
889,1833,15,2016
890,411,18,2008
891,1634,3,2016
892,821,8,2009
893,1933,6,2007
894,924,28,2006
895,2523,10,2020
896,1933,6,2008
897,735,29,2012
898,235,2,2019
899,1422,25,2005
900,1414,15,2004
901,533,13,2007
902,1925,16,2017
903,1111,16,2018
904,524,10,2019
905,1923,21,2007
906,1421,2,2020
907,1134,108,2015
908,321,33,2013
909,131,8,2010
910,1821,30,2008
911,923,9,2010
912,1135,29,2004
913,2213,3,2019
914,1232,4,2012
915,2433,17,2007
916,2023,6,2010
917,1021,26,2011
918,223,9,2004
919,513,4,2018
920,1654,8,2018
921,1132,30,2005
922,2422,32,2007
923,234,4,2018
924,311,12,2010
925,2032,3,2018
926,1915,10,2013
927,812,15,2014
928,1724,3,2018
929,1023,8,2006
930,722,16,2010
931,631,39,2012
932,423,44,2019
933,1124,22,2008
934,2533,47,2014
935,1233,6,2004
936,132,51,2010
937,1624,15,2005
938,825,24,2017
939,1123,20,2013
940,421,34,2014
941,1012,18,2019
942,1211,19,2012
943,1032,13,2006
944,2531,14,2007
945,2031,7,2011
946,223,9,2010
947,1814,13,2006
948,835,19,2012
949,1822,67,2005
950,111,11,2005
951,934,28,2010
952,221,1,2019
953,1421,10,2017
954,2512,10,2004
955,412,20,2016
956,411,18,2016
957,734,13,2005
958,223,6,2012
959,1134,54,2018
960,1922,7,2012
961,412,14,2009
962,834,20,2008
963,221,9,2012
964,323,14,2018
965,1424,7,2018
966,1022,22,2013
967,1114,15,2006
968,1125,18,2011
969,1724,7,2004
970,523,15,2018
971,935,20,2013
972,1023,13,2007
973,835,6,2016
974,1115,29,2005
975,121,5,2015
976,1512,23,2004
977,923,3,2009
978,1224,13,2006
979,1231,5,2020
980,2011,5,2017
981,925,6,2016
982,2232,21,2009
983,1654,4,2013
984,934,32,2005
985,1713,15,2004
986,823,71,2012
987,1421,25,2005
988,931,17,2006
989,821,10,2014
990,726,14,2020
991,214,3,2018
992,921,8,2004
993,715,26,2013
994,1834,16,2008
995,813,8,2004
996,421,56,2017
997,2522,12,2005
998,713,46,2011
999,2413,21,2006
1000,2431,16,2014
1001,1821,16,2009
1002,912,9,2014
1003,434,19,2005
1004,933,17,2006
1005,1622,16,2005
1006,634,24,2016
1007,2024,20,2009
1008,1124,20,2010
1009,1654,1,2015
1010,432,22,2011
1011,931,17,2004
1012,1215,8,2016
1013,1533,55,2018
1014,112,24,2016
1015,1713,4,2018
1016,1034,15,2007
1017,611,7,2006
1018,214,4,2016
1019,1523,46,2009
1020,724,32,2015
1021,2024,34,2012
1022,1922,2,2006
1023,924,7,2020
1024,726,24,2005
1025,1913,13,2010
1026,733,21,2020
1027,1134,84,2009
1028,2031,8,2012
1029,824,22,2011
1030,422,27,2009
1031,1223,11,2008
1032,1031,22,2008
